Euring;Sortering;Artnavn;Latin;English;Status;Type
07280;1610;"Gulnæbbet Gøg";"Coccyzus americanus";"Yellow-billed Cuckoo";BU;art
07270;1620;"Sortnæbbet Gøg";"Coccyzus erythropthalmus";"Black-billed Cuckoo";AU;art
07240;1630;Gøg;"Cuculus canorus";"Common Cuckoo";A;art
06630;1640;Steppehøne;"Syrrhaptes paradoxus";"Pallas's Sandgrouse";AU;art
06650;1650;"Klippedue (tamdue)";"Columba livia";"Rock Dove";C;art
06680;1660;Huldue;"Columba oenas";"Stock Dove";A;art
06700;1670;Ringdue;"Columba palumbus";"Common Wood Pigeon";A;art
06870;1680;Turteldue;"Streptopelia turtur";"European Turtle Dove";AS;art
06890;1690;"Østlig Turteldue";"Streptopelia orientalis";"Oriental Turtle Dove";AU;art
06840;1700;Tyrkerdue;"Streptopelia decaocto";"Eurasian Collared Dove";A;art
06950;1710;Sørgedue;"Zenaida macroura";"Mourning Dove";AU;art
07069;1720;"Due sp.";Columbidae;"Dove/Pigeon sp.";H;ubestemt
04070;1730;Vandrikse;"Rallus aquaticus";"Water Rail";A;art
04210;1740;Engsnarre;"Crex crex";"Corn Crake";A;art
04080;1750;"Plettet Rørvagtel";"Porzana porzana";"Spotted Crake";AS;art
04240;1760;"Rørhøne (Grønbenet)";"Gallinula chloropus";"Common Moorhen";A;art
04290;1770;Blishøne;"Fulica atra";"Eurasian Coot";A;art
04298;1780;"Blishøne x Rørhøne (hybrid)";"Fulica atra x Gallinula chloropus";"Eurasian Coot x Common Moorhen";H;hybrid
04250;1790;"Lille Sultanhøne";"Porphyrio alleni";"Allen's Gallinule";BU;art
04270;1800;Sultanhøne;"Porphyrio porphyrio";"Western Swamphen";E;art
04110;1810;Dværgrørvagtel;"Zapornia pusilla";"Baillon's Crake";AU;art
04169;1820;"Rørvagtel sp.";"Porzana/Zapornia sp.";"Crake sp.";H;ubestemt
04100;1830;"Lille Rørvagtel";"Zapornia parva";"Little Crake";AU;art
04360;1840;Prærietrane;"Antigone canadensis";"Sandhill Crane";AU;art
04410;1850;Jomfrutrane;"Grus virgo";"Demoiselle Crane";AU;art
04380;1860;"Japansk Trane";"Grus japonensis";"Red-crowned Crane";E;art
04330;1870;Trane;"Grus grus";"Common Crane";A;art
04409;1880;"Trane sp.";"Grus/Antigone sp.";"Crane sp.";H;ubestemt
04419;1890;"Stork/Trane sp.";"Ciconia/Grus/Antigone sp.";"Stork/Crane sp.";H;ubestemt
00070;1900;"Lille Lappedykker";"Tachybaptus ruficollis";"Little Grebe";A;art
00100;1910;"Gråstrubet Lappedykker";"Podiceps grisegena";"Red-necked Grebe";A;art
00090;1920;"Toppet Lappedykker";"Podiceps cristatus";"Great Crested Grebe";A;art
00099;1930;"Toppet Lappedykker/Gråstrubet Lappedykker";"Podiceps cristatus/P. grisegena";"Great Crested Grebe/Red-necked Grebe";H;ubestemt
00110;1940;"Nordisk Lappedykker";"Podiceps auritus";"Horned Grebe";A;art
00119;1950;"Nordisk Lappedykker/Sorthalset Lappedykker";"Podiceps auritus/P. nigricollis";"Horned Grebe/Black-necked Grebe";H;ubestemt
00120;1960;"Sorthalset Lappedykker";"Podiceps nigricollis";"Black-necked Grebe";A;art
00139;1970;"Lappedykker sp.";Podicipedidae;"Grebe sp.";H;ubestemt
01472;1980;"Stor Flamingo";"Phoenicopterus roseus";"Greater Flamingo";DU;art
01471;1990;Cariberflamingo;"Phoenicopterus ruber";"American Flamingo";E;art
01470;2000;"Stor Flamingo/Cariberflamingo";"Phoenicopterus roseus/P. ruber";"Greater Flamingo/American Flamingo";H;ubestemt
01475;2010;Chileflamingo;"Phoenicopterus chilensis";"Chilean Flamingo";E;art
01480;2020;"Lille Flamingo";"Phoeniconaias minor";"Lesser Flamingo";E;art
01489;2030;"Flamingo sp.";Phoenicopteridae;"Flamingo sp.";H;ubestemt
04590;2040;Triel;"Burhinus oedicnemus";"Eurasian Stone-curlew";AU;art
04500;2050;Strandskade;"Haematopus ostralegus";"Eurasian Oystercatcher";A;art
04550;2060;Stylteløber;"Himantopus himantopus";"Black-winged Stilt";AS;art
04560;2070;Klyde;"Recurvirostra avosetta";"Pied Avocet";A;art
04860;2080;Strandhjejle;"Pluvialis squatarola";"Grey Plover";A;art
04850;2090;Hjejle;"Pluvialis apricaria";"European Golden Plover";A;art
04845;2100;"Sibirisk Hjejle";"Pluvialis fulva";"Pacific Golden Plover";AU;art
04840;2110;"Amerikansk Hjejle";"Pluvialis dominica";"American Golden Plover";AU;art
04848;2120;"Amerikansk Hjejle/Sibirisk Hjejle";"Pluvialis fulva/P. dominica";"Pacific Golden Plover/American Golden Plover";HU;ubestemt
04820;2130;Pomeransfugl;Eudromias morinellu;"Eurasian Dotterel";AS;art
04700;2140;"Stor Præstekrave";"Charadrius hiaticula";"Common Ringed Plover";A;art
04701;2150;"Stor Præstekrave (ssp. hiaticula)";"Charadrius hiaticula hiaticula";"Common Ringed Plover (ssp. hiaticula)";A;underart
04702;2160;"Stor Præstekrave, Tundra (ssp. tundrae)";"Charadrius hiaticula tundrae";"Common Ringed Plover (ssp. tundrae)";A;underart
04690;2170;"Lille Præstekrave";"Charadrius dubius";"Little Ringed Plover";A;art
04930;2180;Vibe;"Vanellus vanellus";"Northern Lapwing";A;art
04870;2190;Sporevibe;"Vanellus spinosus";"Spur-winged Lapwing";EU;art
04910;2200;Steppevibe;"Vanellus gregarius";"Sociable Lapwing";AU;art
04920;2210;Sumpvibe;"Vanellus leucurus";"White-tailed Lapwing";AU;art
04939;2220;"Brokfugl sp.";Charadriinae;"Lapwing/Plover sp.";H;ubestemt
04800;2230;"Kaspisk Præstekrave";"Anarhynchus asiaticus";"Caspian Plover";U;art
04795;2240;"Ørken-/Tibetansk/Sibirisk Præstekrave";"Anarhynchus leschenaultii/atrifrons/mongolus";"Greater/Tibetan/Siberian Sand Plover";HU;ubestemt
04780;2250;"Tibetansk Præstekrave";"Anarhynchus atrifrons";"Tibetan Sand Plover";AU;art
04786;2260;"Sibirisk Præstekrave";"Anarhynchus mongolus";"Siberian Sand Plover";AU;art
04790;2270;Ørkenpræstekrave;"Anarhynchus leschenaultii";"Greater Sand Plover";AU;art
04770;2280;"Hvidbrystet Præstekrave";"Anarhynchus alexandrinus";"Kentish Plover";AS;art
05440;2290;Bartramsklire;"Bartramia longicauda";"Upland Sandpiper";AU;art
05380;2300;Småspove;"Numenius phaeopus";"Eurasian Whimbrel";A;art
05410;2310;Storspove;"Numenius arquata";"Eurasian Curlew";A;art
05439;2320;"Spove sp.";"Numenius sp.";"Whimbrel/Curlew sp.";H;ubestemt
05340;2330;"Lille Kobbersneppe";"Limosa lapponica";"Bar-tailed Godwit";A;art
05320;2340;"Stor Kobbersneppe";"Limosa limosa";"Black-tailed Godwit";A;art
05321;2350;"Stor Kobbersneppe (ssp. limosa)";"Limosa limosa limosa";"Black-tailed Godwit (ssp. limosa)";A;underart
05322;2360;"Stor Kobbersneppe, Islandsk (ssp. islandica)";"Limosa limosa islandica";"Black-tailed Godwit (ssp. islandica)";A;underart
05330;2370;"Canadisk Kobbersneppe";"Limosa haemastica";"Hudsonian Godwit";AU;art
05270;2380;"Langnæbbet Sneppeklire";"Limnodromus scolopaceus";"Long-billed Dowitcher";AU;art
05289;2390;"Sneppeklire sp.";"Limnodromus sp.";"Dowitcher sp.";HU;ubestemt
05180;2400;Enkeltbekkasin;"Lymnocryptes minimus";"Jack Snipe";A;art
05290;2410;Skovsneppe;"Scolopax rusticola";"Eurasian Woodcock";A;art
05200;2420;Tredækker;"Gallinago media";"Great Snipe";AS;art
05190;2430;Dobbeltbekkasin;"Gallinago gallinago";"Common Snipe";A;art
05630;2440;"Amerikansk Svømmesneppe";"Phalaropus tricolor";"Wilson's Phalarope";AU;art
05650;2450;Thorshane;"Phalaropus fulicarius";"Red Phalarope";AS;art
05649;2460;Odinshane/Thorshane;"Phalaropus lobatus/P. fulicarius";"Red-necked Phalarope/Red Phalarope";H;ubestemt
05640;2470;Odinshane;"Phalaropus lobatus";"Red-necked Phalarope";AS;art
05550;2480;Terekklire;"Xenus cinereus";"Terek Sandpiper";AU;art
05560;2490;Mudderklire;"Actitis hypoleucos";"Common Sandpiper";A;art
05570;2500;"Plettet Mudderklire";"Actitis macularius";"Spotted Sandpiper";AU;art
05530;2510;Svaleklire;"Tringa ochropus";"Green Sandpiper";A;art
05470;2520;Damklire;"Tringa stagnatilis";"Marsh Sandpiper";AS;art
05540;2530;Tinksmed;"Tringa glareola";"Wood Sandpiper";A;art
05460;2540;Rødben;"Tringa totanus";"Common Redshank";A;art
05461;2550;"Rødben (ssp. totanus)";"Tringa totanus totanus";"Common Redshank (ssp. totanus)";A;underart
05462;2560;"Rødben, Islandsk (ssp. robusta)";"Tringa totanus robusta";"Common Redshank (ssp. robusta)";A;underart
05459;2570;Sortklire/Rødben;"Tringa erythropus/T. totanus";"Spotted Redshank/Common Redshank";H;ubestemt
05510;2580;"Lille Gulben";"Tringa flavipes";"Lesser Yellowlegs";AU;art
05450;2590;Sortklire;"Tringa erythropus";"Spotted Redshank";A;art
05480;2600;Hvidklire;"Tringa nebularia";"Common Greenshank";A;art
05500;2610;"Stor Gulben";"Tringa melanoleuca";"Greater Yellowlegs";AU;art
05610;2620;Stenvender;"Arenaria interpres";"Ruddy Turnstone";A;art
04960;2630;"Islandsk Ryle";"Calidris canutus";"Red Knot";A;art
04961;2640;"Islandsk Ryle, Sibirisk (ssp. canutus)";"Calidris canutus canutus";"Red Knot (ssp. canutus)";A;underart
04962;2650;"Islandsk Ryle (ssp. islandica)";"Calidris canutus islandica";"Red Knot (ssp. islandica)";A;underart
04969;2660;"Islandsk Ryle/Lille Kobbersneppe";"Calidris canutus/limosa lapponica";"Red Knot/Bar-Tailed Godwit";H;ubestemt
05170;2670;Brushane;"Calidris pugnax";Ruff;A;art
05140;2680;Kærløber;"Calidris falcinellus";"Broad-billed Sandpiper";AS;art
05080;2690;"Spidshalet Ryle";"Calidris acuminata";"Sharp-tailed Sandpiper";AU;art
05150;2700;Klireryle;"Calidris himantopus";"Stilt Sandpiper";AU;art
05090;2710;"Krumnæbbet Ryle";"Calidris ferruginea";"Curlew Sandpiper";A;art
05020;2720;Temmincksryle;"Calidris temminckii";"Temminck's Stint";A;art
05000;2730;"Rødhalset Ryle";"Calidris ruficollis";"Red-necked Stint";AU;art
05160;2740;Prærieløber;"Calidris subruficollis";"Buff-breasted Sandpiper";AU;art
04970;2750;Sandløber;"Calidris alba";Sanderling;A;art
05120;2760;"Almindelig Ryle";"Calidris alpina";Dunlin;A;art
05121;2770;"Almindelig Ryle, Nordlig (ssp. alpina)";"Calidris alpina alpina";"Dunlin (ssp. alpina)";A;underart
05123;2780;"Almindelig Ryle, Engryle (ssp. schinzii)";"Calidris alpina schinzii";"Dunlin (ssp. schinzii)";A;underart
05129;2790;"Ryle sp.";"Calidris sp.";"Sandpiper sp.";H;ubestemt
05100;2800;"Sortgrå Ryle";"Calidris maritima";"Purple Sandpiper";A;art
05060;2810;Bairdsryle;"Calidris bairdii";"Baird's Sandpiper";AU;art
05010;2820;Dværgryle;"Calidris minuta";"Little Stint";A;art
05018;2830;Dværgryle/Temmincksryle;"Calidris minuta/C. temminckii";"Little Stint/Temminck´s Stint";H;ubestemt
05050;2840;"Hvidrygget Ryle";"Calidris fuscicollis";"White-rumped Sandpiper";AU;art
05070;2850;"Stribet Ryle";"Calidris melanotos";"Pectoral Sandpiper";AS;art
04980;2860;"Tyknæbbet Dværgryle";"Calidris pusilla";"Semipalmated Sandpiper";AU;art
